id;ano_lançamento;titulo_obra;genero;pais_produtor_obra;nacionalidade_obra;data_lançamento;distribuidora;publico_acumulado;avaliacao
865;2013;Dose Dupla;Ficção;Estados Unidos;Estrangeiros;13/09/2013;Imagem;195772;
866;2015;Homem Irracional;Ficção;Estados Unidos;Estrangeiros;27/08/2015;Imagem;195067;
867;2011;Tudo pelo poder;Ficção;Estados Unidos;Estrangeiros;23/12/2011;Califórnia;194957;
868;2011;127 horas;Ficção;Estados Unidos;Estrangeiros;18/02/2011;Fox;194046;
869;2011;Os agentes do destino;Ficção;Estados Unidos;Estrangeiros;13/05/2011;Universal;194031;
870;2017;Antes que eu vá;Ficção;Estados Unidos;Estrangeiros;18/05/2017;Paris;189949;
871;2016;Milagres do Paraíso;Ficção;Estados Unidos;Estrangeiros;21/04/2016;Sony;189728;
872;2013;O acordo;Ficção;Emirados Árabes Unidos, Estados Unidos;Estrangeiros;19/04/2013;Playarte;189204;
873;2013;Giovanni Improtta;Ficção;Brasil;Brasileiros;17/05/2013;Sony/RioFilme;188436;
874;2013;Caça aos Gângsteres;Ficção;Estados Unidos;Estrangeiros;01/02/2013;Warner;187072;
875;2016;Pequeno Segredo;Ficção;Brasil;Brasileiros;10/11/2016;Diamond Films do Brasil;187055;
876;2013;Finalmente 18!;Ficção;Estados Unidos;Estrangeiros;17/05/2013;Imagem;186073;
877;2015;A Incrível História de Adaline;Ficção;Estados Unidos;Estrangeiros;21/05/2015;Diamond Films do Brasil;185706;
878;2009;Eu Odeio o Dia dos Namorados;Ficção;Estados Unidos;Estrangeiros;24/04/2009;Playarte;185663;
879;2009;A Festa do Garfield;Animação;Estados Unidos;Estrangeiros;01/05/2009;Playarte;185391;
880;2009;A Órfã;Ficção;Estados Unidos;Estrangeiros;04/09/2009;Warner;184058;
881;2010;Preciosa: Uma História de Esperança;Ficção;Estados Unidos;Estrangeiros;12/02/2010;Playarte;183470;
882;2012;O Pacto;Ficção;Estados Unidos;Estrangeiros;09/03/2012;Imagem;183347;
883;2017;As Aventuras de Ozzy;Animação;Canadá, Espanha;Estrangeiros;01/06/2017;Playarte;181884;
884;2011;Onde está a felicidade?;Ficção;Brasil;Brasileiros;19/08/2011;Fox;181680;
885;2011;Terror na água 3D;Ficção;Estados Unidos;Estrangeiros;04/11/2011;Disney;180341;
886;2012;A Última Casa da Rua;Ficção;Canadá, Estados Unidos;Estrangeiros;07/12/2012;Paris;179873;
887;2011;Não sei como ela consegue;Ficção;Estados Unidos;Estrangeiros;26/11/2011;Imagem;179872;
888;2014;Julio Sumiu;Ficção;Brasil;Brasileiros;17/04/2014;Imagem;179745;
889;2012;A negociação;Ficção;Estados Unidos, Polônia;Estrangeiros;21/12/2012;Imagem;177218;
890;2016;Como ser solteira;Ficção;Estados Unidos;Estrangeiros;25/02/2016;Warner;176089;
891;2016;O Maior Amor do Mundo;Ficção;Estados Unidos;Estrangeiros;05/05/2016;Imagem;176083;
892;2011;Contra o tempo;Ficção;Estados Unidos;Estrangeiros;30/09/2011;Imagem;174765;
893;2013;O casamento do ano;Ficção;Estados Unidos;Estrangeiros;31/08/2013;Imagem;174335;
894;2011;O vencedor;Ficção;Estados Unidos;Estrangeiros;04/02/2011;Imagem;173878;
895;2009;Halloween - O Início;Ficção;Estados Unidos;Estrangeiros;24/07/2009;Playarte;173418;
896;2017;Amityville: O despertar;Ficção;Estados Unidos;Estrangeiros;14/09/2017;Paris;173302;
897;2012;A Separação;Ficção;Irã;Estrangeiros;20/01/2012;Imovision;173011;
898;2013;A Grande Beleza;Ficção;Itália;Estrangeiros;20/12/2013;Alphaville Filmes;172954;
899;2009;Intrigas de Estado;Ficção;Estados Unidos;Estrangeiros;11/06/2009;Universal;172736;
900;2011;Sobrenatural;Ficção;Estados Unidos;Estrangeiros;22/04/2011;Playarte;172067;
901;2009;Falando Grego;Ficção;Estados Unidos;Estrangeiros;12/09/2009;Imagem;171690;
902;2011;Capitães da Areia;Ficção;Brasil;Brasileiros;07/10/2011;Imagem;170607;
903;2012;Raul, o Início, o Fim e o Meio;Documentário;Brasil;Brasileiros;23/03/2012;Paramount;170471;
904;2014;Ela;Ficção;Estados Unidos;Estrangeiros;14/02/2014;Sony;169913;
905;2017;Gosto se discute;Ficção;Brasil;Brasileiros;09/11/2017;Imagem;169485;
906;2017;O assassino – O primeiro alvo;Ficção;Estados Unidos;Estrangeiros;21/09/2017;Paris;168344;
